0,1,2,3,4,5,6,7,8,9,10,11
State Code,County Code,Site Number,POC WS,POC WD,POC TEMP,POC PM10,Latitude,Longitude,State Name,County Name,City Name
55.0,27.0,1.0,1.0,1.0,1.0,1.0,43.46611,-88.62111,Wisconsin,Dodge,Kekoskee
55.0,27.0,1.0,nan,nan,nan,2.0,43.46611,-88.62111,Wisconsin,Dodge,Kekoskee
55.0,27.0,1.0,nan,nan,nan,3.0,43.46611,-88.62111,Wisconsin,Dodge,Kekoskee
55.0,79.0,56.0,1.0,1.0,1.0,3.0,42.93257,-87.93434,Wisconsin,Milwaukee,Milwaukee
55.0,111.0,7.0,1.0,1.0,1.0,3.0,43.4351,-89.67979,Wisconsin,Sauk,Not in a City
55.0,133.0,27.0,1.0,1.0,1.0,3.0,43.020075,-88.21507,Wisconsin,Waukesha,Waukesha
56.0,1.0,11.0,1.0,1.0,1.0,3.0,41.32417,-105.61489,Wyoming,Albany,Laramie
56.0,13.0,4.0,1.0,1.0,1.0,3.0,43.02421,-108.3637,Wyoming,Fremont,Riverton
56.0,21.0,100.0,1.0,1.0,1.0,3.0,41.182227,-104.778334,Wyoming,Laramie,Cheyenne
56.0,21.0,100.0,nan,nan,3.0,nan,41.182227,-104.778334,Wyoming,Laramie,Cheyenne
56.0,23.0,4.0,1.0,1.0,1.0,3.0,41.783083,-110.53788,Wyoming,Lincoln,Diamondville
56.0,35.0,99.0,1.0,1.0,1.0,1.0,42.719,-109.753,Wyoming,Sublette,Not in a City
56.0,35.0,99.0,nan,nan,3.0,nan,42.719,-109.753,Wyoming,Sublette,Not in a City
56.0,37.0,200.0,1.0,1.0,1.0,3.0,41.677667,-108.024835,Wyoming,Sweetwater,Not in a City
56.0,37.0,200.0,nan,nan,3.0,nan,41.677667,-108.024835,Wyoming,Sweetwater,Not in a City
56.0,37.0,300.0,1.0,1.0,1.0,1.0,41.750556,-109.788333,Wyoming,Sweetwater,Not in a City
56.0,37.0,300.0,nan,nan,3.0,nan,41.750556,-109.788333,Wyoming,Sweetwater,Not in a City
